ID,ROK,KOLOR,NAZWA WINA,POCHODZENIE,SZCZEP,BECZKA,OPIS,ALK.,POJ.,CENA NETTO,IMAGES,KRAJ,
CA.33,20,Czerwone,Carmen Premier 1850 Reserva Carmenere,D.O. Colchagua Valley - Chile,90% Carmenere 10% Carignan,10 miesięcy,"Wino wytrawne. Dojrzewa przez okres 10 miesięcy we francuskim dębie, a następnie dodatkowo 2 miesiące w butelce. Nos bogaty, dojrzały, z wyraźną nutą jeżyn, dojrzałych śliwek, dymu tytoniowego, grillowanej czerwonej papryki. Wino ma wspaniałą strukturę, głębię i koncentrację. Prawie słodkie, aksamitne taniny uwodzą podniebienie. Najlepiej podawać do nóżek lub combru jagnięcego, pieczonego lub grillowanego czerwonego mięsa oraz gulaszu.",13,75cl,"44,00",CA.33.png,Chile,Otwórz plik
CA.40,23,Białe,Carmen Gran Reserva Chardonnay,D.O. Limari - Chile,Chardonnay,,"Wino wytrawne. Gran Reserva Chardonnay dojrzewa przez okres 8 miesięcy na osadzie. Nos przepełniony jest aromatami dojrzałej brzoskwini w kremie waniliowym, migdałów, pieczonego chleba, gruszki w karmelu, goździków i wanilii. W smaku bogate, pozostawiające długie zakończenie. Znakomite do kotleta schabowego, wędzonej szynki, pieczonej kaczki czy gęsi, ryby, homara, makaronów i kremowych zup. NAGRODY - 91 pkt. Wine Access, Buyer’s Guide, 91 pkt. James Suckling.",13,75cl,"59,90",CA.40.png,Chile,Otwórz plik
CA.39,20,Czerwone,Carmen Gran Reserva Carmenere,D.O. Colchagua Valley - Chile,"95% Carmenere, 5% Cabernet Sauvignon",10 miesięcy,"Wino wytrawne. Wino dojrzewa 10 miesięcy we francuskim dębie i następnie 2 miesiące w butelce. Nos obfituje w intensywne aromaty czerwonych owoców, nuty tytoniu, cedru oraz dębu. W smaku pełne ciała, z głębią o aksamitnej strukturze i świetnym zakończeniu. Polecane do pieczonej kaczki, królika, jagnięciny, makaronów i serów. NAGRODY - 90 pkt Wine Spectator, 90 pkt James Suckling, 89 pkt Wine Access Buyer’s Wine, 88 pkt International Wine Cellar, Gold Medal – International Wine Challenge",14,75cl,"59,90",CA.39.png,Chile,Otwórz plik
CA.51,20,Czerwone,Carmen Gran Reserva Cabernet Sauvignon Frida Kahlo Limited Edition,D.O. Apalta Valley - Chile,Cabernet Sauvignon,14 miesięcy,"Wino wytrawne. Wino sygnowane nazwiskiem meksykańskiej artystki Fridy Kahlo to potwierdzenie innowacyjności i powrotu do klasyki najstarszej chilijskiej winnicy Vina Carmen. Cabernet Sauvignon ze znakomitego regionu Apalta dojrzewał 14 miesięcy we francuskim dębie. Nos wyróżnia się przede wszystkim czarną porzeczką, jeżyną oraz lukrecją z delikatnym niuansem cedru. W smaku bardzo bogate, hojne i jednocześnie świeże i żywe. Rekomendowane do jagnięciny, żeberek, wołowiny w pikantnych sosach, dzikiego ptactwa, dziczyzny, gęsiny i serów. Kwasowość 5,1 g/l, cukier resztkowy 3,3 g/l.",14,75cl,"59,90",CA.51.png,Chile,Otwórz plik
CA.52,22,Czerwone,Carmen Gran Reserva Petit Syrah,D.O. Maipo Alto - Chile,Petit Syrah,14 miesięcy,"Wino wytrawne. Wino pochodzi z gron starych winorośli położonych 500 metrów nad poziomem morza, u podnóża Andów. Winogrona zostały ręcznie zebrane i starannie wyselekcjonowane przed zmiażdżeniem. 50% wina użytego do produkcji tego wina dojrzewało w używanych beczkach z francuskiego dębu przez 14 miesięcy. Aromaty bardzo dojrzałych czarnych wiśni, śliwek, fiołków uzupełnione złożonymi nutami czekolady, kawy, ziemistych przypraw i anyżu. Ta Gran Reserva Petite Sirah to wino o wspaniałym, dobrze zbudowanym ciele i dojrzałych taninach. Wyjątkowy rarytas..",14,75cl,"63,00",CA.52.png,Chile,Otwórz plik
SI.01,N/V,Białe,Santiano Chardonnay,Central Valley - Chile,Chadonnay,,"Wino wytrawne. Jasnożółta barwa z zielonymi refleksami. Nos o eleganckim, świeżym charakterze łączy się z nutami grejpfruta, gruszki, kwiatowymi akc2ntami oraz elementami owoców tropikalnych takich jak ananas. Zalecana temperatura podawania 9 -11°C. Wino znakomite do drobiu, ryby i owoców morza. Szczep: Chardonnay.",13,"18,7 cl","9,80",SI.01.png,Chile,❌ brak pliku
SI.02,N/V,Czerwone,Santiano Cabernet Sauvignon,Central Valley - Chile,Cabernet Sauvignon,,"Wino wytrawne. Aromatowi przypraw z czasem towarzyszą nuty dojrzałej czarnej porzeczki i jeżyn oraz delikatne tchnienie mięty. Wino pełne ciała, świeże, o dobrej strukturze i wyraźnych taninach. Akcenty mięty zaznaczone w trwałym zakończeniu. Zalecana temperatura podawania 16 - 18 °C. Wino znakomite do grillowanych potraw, steków i Chili con Carne. Szczep: Cabernet Sauvignon.",13,"18,7 cl","9,80",SI.02.png,Chile,❌ brak pliku
SI.03,23,Białe,Santa Faustina Sauvignon Blanc,Central Valley - Chile,Sauvignon Blanc,,"Wino wytrawne. Białe, wytrawne wino powstałe z gron szczepów: Sauvignon Blanc, uprawianych w chilijskiej Dolinie Centralnej. Zachwyca jasnożółtą barwą z refleksami zieleni oraz wyczuwalnym aromatem brzoskwiń i jabłek z nutą ziołowych akcentów w tle. Świeże o dość wysokiej kwasowości, charakteryzuje się orzeźwiającym finiszem. Idealnie smakuje podane w towarzystwie sałat, białych mięs, ryb i owoców morza. Podawać w temperaturze 6-8oC.","12,5",75 cl,"19,50",SI.03.png,Chile,❌ brak pliku
SI.04,23,Czerwone,Santa Faustina Carmenere Merlot,Central Valley - Chile,Carmenere Merlot,,"Wino wytrawne. Wyborne, pełne i dobrze zbudowane wino, powstałe z gron szczepu Carmenere oraz Merlot. Zachwyca intensywną, rubinową barwą oraz bukietem pełnym soczystych owoców porzeczki, jeżyny i śliwki z nutą czarnego pieprzu. Polecane do pieczonego lub grillowanego czerwonego mięsa oraz gulaszu, żółtych serów. Podawać w temperaturze 16-18oC.",13,75 cl,"19,50",SI.04.png,Chile,❌ brak pliku
SK.01,23,Białe,Grüner Veltliner Lossterrassen Weingut Stadt Krems,"Kremstal, Qualitätswein - Austria",Grüner Veltliner,,"Wino wytrawne. Bardzo świeże, owocowe wino bogate w aromaty ananasa i grejpfruta. Pełne ciała, o przyjemnej kwasowości z długim zakończeniem. Nadaje się do picia od razu lub do przechowywania przez kolejne 3 lata. Idealny towarzysz do tradycyjnych austriackich potraw. Znakomity do wieprzowiny, kurczaka oraz kuchni włoskiej i azjatyckiej. [NAGRODY] - 90 pkt. Wine Spectator, Top 100 – Wine Spectator.",12,75cl,"52,00",SK.01.png,Austria,Otwórz plik
SK.02,22,Białe,Grüner Veltliner Weinzierlberg Weingut Stadt Krems,Kremstal DAC Erste Lage - Austria,Grüner Veltliner,,"Wino wytrawne. Elegancki, świeży Grüner Veltliner pochodzący z austriackiego regionu Kremstal. Aromaty niedojrzałego banana, cytryny, jabłka, limonki, miodu, białego pieprzu. Niezwykle mineralne. Subtelne, delikatne wino o trwałym finiszu. Możesz pić je jako aperitif lub podawać z warzywami (szparagi, karczochy, kalafior). Pasuje również do wędzonych lub surowych ryb (wędzony łosoś, sushi), świeżych serów (mozzarella, ser kozi), dań na bazie ziół (koperku, estragonu, mięty, pietruszki), pikantnych dań kuchni Azji Południowo-Wschodniej, daniami smażonymi (sznycel, fish & chips). Wino, które świetne jest do wypicia teraz, jednocześnie posiadające potencjał dojrzewania do 6 lat. [NAGRODY]: 90 pkt. Wine Enthusiast, 93 pkt. Falstaff, 17 pkt. Gaultmillau, 94+ pkt A La Carte, 95 pkt James Suckling, 92+ pkt Robert Parker.","12,5",75cl,"79,00",SK.02.png,Austria,❌ brak pliku
SK.04,23,Białe,Riesling Steinterrassen Weingut Stadt Krems,Kremstal DAC Erste Lage - Austria,Riesling,,"Wino wytrawne. Klasyczny, wysokiej jakości Riesling z austriackiego regionu Kremstal. Aromaty moreli, brzoskwini, cytrusów, miodu z mineralnymi nutami. Wino, które świetne jest do wypicia teraz, jednocześnie posiadające potencjał dojrzewania przez najbliższe 10 lat. Idealny do smażonych lub grillowanych ryb, pikantnych dań (meksykańskich, indyjskich, tajskich, chińskich) czy makaronów z sosem pomidorowym. Dobrze komponuje się z mocnymi i ostrymi serami o półmiękkiej konsystencji (Munster, Morbier, Raclette, Taleggio, Livarot). [NAGRODY]: 92 pkt Falstaff, 92 pkt James Suckling.","12,5",75cl,"79,00",SK.04.png,Austria,❌ brak pliku
HV.01,23,Białe,Villa Huesgen By the Glass Riesling,Mosel - Niemcy,Riesling,,"Wino wytrawne. Riesling, który znakomicie łączy owocowość odmiany i elegancki smak (brzoskwinia, morela) z dobrze wyważoną strukturą oraz świeżym, mineralnym finiszem. Wino, które pasuje na każdą okazję.","11,5",75cl,"49,90",HV.01.png,Niemcy,Otwórz plik
HV.02,20,Białe,Villa Huesgen Riesling Schiefer,Mosel - Niemcy,Riesling,,"Wino wytrawne. Wino ze stromych zboczy winnicy Trabener Wurzgarten. Świeże, owocowe z czystym i złożonym bukietem, gdzie dominuje zielone jabłko, owoce cytrusowe, z nutami ziół. Zdecydowana mineralność oraz wyważona kwasowość w pełni oddają łupkowe terroir (Schiefer).",11,75cl,"84,00",HV.02.png,Niemcy,Otwórz plik
HV.03,22,Białe,Villa Huesgen Alte Reben Riesling Enkircher Steffensberg,Mosel - Niemcy,Riesling,,"Wino wytrawne. Wino klasy premium z historycznej winnicy Enkircher Steffensberg. Winogrona, zbierane wyłącznie ręcznie, pochodzą z ponad 100 letnich krzewów sprzed filoksery. W smaku bardzo intensywne, mineralne, z bajecznym aromatem oraz długim i żywym zakończeniem. Znakomite do długiego przechowywania. Czyste uosobienie Rieslinga.","11,5",75cl,"142,00",HV.03.png,Niemcy,Otwórz plik
AZG.05,23,Białe,Riesling Kabinett Rudolf Müller,"Mosel, Pradikatswein - Niemcy",Riesling,,"Wino półsłodkie. Rudolf Müller Kabinett wyprodukowany jest z dojrzałych gron Riesling, rosnących w Dolinie Mozeli. Winogrona te pozostają dłużej na krzaku w porównaniu z innymi odmianami, zyskując nazwę „Kabinett”. Wino oddaje aromaty dojrzałych jabłek, gruszek, brzoskwini oraz owoców cytrusowych. Jego lekka słodycz doskonale pasuje do dojrzewających serów, cielęciny w kremowych sosach, owoców morza czy kurczaka.","8,5",75cl,"36,00",AZG.05.png,Niemcy,Otwórz plik
AZG.04,21,Różowy,Dornfelder Rosé Rudolf Müller,Pfalz Qualitätswein Lieblich - Niemcy,Dornfelder,,"Półsłodkie różowe wino (Lieblich). Eleganckie, lekko słodkie wino ze szczepu Dornfelder o jasnoróżowym kolorze. W aromacie urzekający, intensywny owocowy bukiet. W ustach krągłe z wyczuwalnym posmakiem truskawek, malin, poziomek i czerwonej porzeczki. Mocno schłodzone rewelacyjne jako aperitif, do lekkich sałat z dodatkiem truskawek i malin oraz deserów na bazie czerwonych owoców.",11,75cl,"29,00",AZG.04.png,Niemcy,Otwórz plik
AZG.16,16,Białe,Eiswein Silvaner Rudolf Müller,Rheinhessen - Niemcy,Silvaner,,"Słodkie białe wino lodowe, wyprodukowane z naturalnie przemrożonych gron szczepu Silvaner. Bardzo jasna, słomkowa barwa ze złotymi refleksami. W aromacie intensywne, z wyczuwalnymi nutami białych kwiatów, kandyzowanych cytrusów i suszonych owoców. Na podniebieniu miodowo-owocowe, z wyraźnym smakiem dojrzałego jabłka, kandyzowanej cytryny, suszonej moreli i figi. Podawać schłodzone do temperatury 6-8 stopni. Idealny towarzysz jasnych deserów z białą czekoladą, lodami i suszonymi owocami.",8,"37,5cl","88,00",AZG.16.png,Niemcy,Otwórz plik
BU.23,22,Białe,Gewürztraminer Ex Passione Hönninger Schlossberg,Dolina Renu Mittelrhein - Niemcy,Gewürztraminer,,"Wino półwytrawne. Niemieckie, białe wino z Doliny Renu wyprodukowane w 100% ze szczepu Gewürztraminer. W aromacie o intensywnym bukiecie kwiatowym, przeplecionym cytrusowymi akcentami i nutami przypraw. W smaku dobrze zrównoważone, pełne, aksamitne, ale i orzeźwiające. Idealna propozycja dla wielbicieli intensywnych kwiatowych aromatów w winie.","13,5",75cl,"36,00",BU.23.png,Niemcy,❌ brak pliku
BU.17,22,Białe,Riesling Ex Passione Hönninger Schlossberg,Dolina Renu Mittelrhein - Niemcy,Riesling,,"Wino wytrawne. Niemieckie, białe wino wytrawne z Doliny Renu wyprodukowane w 100% ze szczepu Riesling. Zachwyca równowagą między kwasowością, owocowością i delikatną mineralnością. Pełne, eleganckie, dobrze zbudowane w nosie jak i w ustach. Wśród aromatów i smaków odnajdziemy w nim przede wszystkim zielone jabłko, brzoskwinię i limonkę.",12,75cl,"36,00",BU.17.png,Niemcy,❌ brak pliku
BU.21,22,Białe,Golden Gewürztraminer Auslese Hönninger Schlossberg,Dolina Renu Mittelrhein - Niemcy,Gewürztraminer,,"Wino słodkie. Niemieckie, białe wino z Doliny Renu wyprodukowane w 100% ze szczepu Gewürztraminer. W ustach delikatnie mineralne, o klasycznych aromatach róży, muszkatu, z odrobiną pigwy i liczi, okraszone nutami miodu spadziowego. Na podniebieniu subtelne, owocowe, z lekko pikantną końcówką egzotycznych przypraw. Doskonałe jako aperitif, dodatek do deserów, ale też do tłustych serów pleśniowych. Sprawdzi się też idealnie w kuchni azjatyckiej.",12,75cl,"36,00",BU.21.png,Niemcy,❌ brak pliku
BU.03,20,Białe,Golden Riesling Auslese Sweet Hönninger Schlossberg,Dolina Renu Mittelrhein - Niemcy,Riesling,,"Wino słodkie. Golden Riesling Auslese to niemieckie, słodkie, białe wino z Doliny Renu. Wyprodukowane ze starannie wyselekcjonowanych, w pełni dojrzałych winogron szczepu Riesling. W ustach pełne, soczyste, z nutą moreli, nektarynki i miodu. Intensywny i długotrwały finisz. Idealne do serów, owoców, bogato przyprawionych potraw oraz deserów.","8,5",50cl,"36,00",BU.03.png,Niemcy,❌ brak pliku
BU.22,22,Białe,Riesling Rheinschifer Kabinett Hönninger Schlossberg,Dolina Renu Mittelrhein - Niemcy,Riesling,,"Wino półwytrawne. Niemieckie, białe, półwytrawne wino z Doliny Renu wyprodukowane w 100% ze szczepu Riesling. W aromacie wyczuwalne subtelne aromaty zielonych owoców wraz z nutami mineralnymi. W ustach spójne z aromatami. Sprawdzi się jako aperitif lub w towarzystwie potraw z białych mięs, które zawierają nutę słodyczy i pikanterii. Znakomite do potraw kuchni azjatyckiej.","11,5",75cl,"36,00",BU.22.png,Niemcy,❌ brak pliku
BU.14,22,Białe,Blanc de Noir Hönninger Schlossberg,Dolina Renu Mittelrhein - Niemcy,Pinot Noir,,"Wino wytrawne. Białe wino wyprodukowane z ciemnych odmian winogron określa się jako „Blanc de Noir”. W przeciwieństwie do tradycyjnych czerwonych win, podczas produkcji skórki winogron zostały oddzielone od soku, a to właśnie skórki nadaje winu czerwony kolor. W aromacie znajdziemy bogactwo aromatów ziół i cytrusów. W ustach wino jest zbalansowane i przywołuje smak świeżo zerwanych jabłek. Idealne wino do lunchu, na randkę czy na spotkanie z przyjaciółmi.",12,75cl,"36,00",BU.14.png,Niemcy,❌ brak pliku
BU.24,21,Czerwone,Pinot Noir Hönninger Schlossberg,Dolina Renu Mittelrhein - Niemcy,Pinot Noir,,"Wino wytrawne. Niemieckie, czerwone wino z Doliny Renu wyprodukowane w 100% ze szczepu Pinot Noir. Odnajdziemy w nim aromaty wiśni, dojrzałych truskawek i czarnej porzeczki. Na podniebieniu spójne z aromatami, o przyjemnej strukturze, z delikatną taniną. Dobrze zrównoważone. Doskonałe do cielęciny, kaczki, pasztetu na chłodno, grzybów i miękkich serów. Sprawdzi się również serwowane z rybami, takimi jak lin, karp, tuńczyk czy łosoś.",12,75cl,"36,00",BU.24.png,Niemcy,❌ brak pliku
BU.13,21,Białe,Riesling Alte Raben Stadtweingut Bad Hönningen,Dolina Renu Mittelrhein - Niemcy,Riesling,,"Wino półwytrawne. Niemieckie, białe, półwytrawne wino z Doliny Renu wyprodukowane w 100% ze szczepu Riesling. Wino tłuste, ale jednocześnie rześkie, z wyczuwalną w aromacie żółtą brzoskwinią, melonem oraz nutami dymno-słonymi francuskiego ciasta brioche. Soczyste na podniebieniu, harmonijne, o delikatnej strukturze. W ustach wyczuwalna gruszka, melon i zioła (bazylia, mięta).",12,75cl,"36,00",BU.13.png,Niemcy,❌ brak pliku
NO.12,23,Czerwone,Bodega Norton Barrel Select Malbec VEGAN,Mendoza - Argentyna,Malbec z winnic starszych niż 15 lat,10 miesięcy,"Wino wytrawne. Malbec o głębokoczerwonej barwie z refleksami fioletu. Dojrzewa przez 12 miesięcy w dębowej francuskiej beczce, a następnie w butelce przed wypuszczeniem na rynek. Nos z dojrzałymi czerwonymi owocami, czerwoną porzeczką, pieprzem i wanilią. W smaku wyczuwalne słodkie, aksamitne taniny i przyprawy. Wino polecane do dłuższego przechowywania. [NAGRODY] - 88 pkt Wine Spectator. 91 pkt IWC Awards 2023.",14,75cl,"41,00",NO.12.png,Argentyna,Otwórz plik
NO.08,22,Czerwone,Bodega Norton Reserva Malbec VEGAN,Mendoza - Argentyna,Malbec,12 miesięcy,"Wino wytrawne. Wino Reserva Malbec produkowane jest ze specjalnie wyselekcjonowanych winogron z winnic starszych niż 30 lat. Dojrzewa przez okres 12 miesięcy w beczkach z francuskiego dębu oraz dodatkowo 10 miesięcy w butelkach przed wypuszczeniem na rynek. Harmonijne połączenie tanin i owoców leśnych jak jeżyny i jagody. Wielkie eleganckie wino z długim finiszem. [NAGRODY] - 95 pkt - Decanter, 91 pkt Tim Atkin, 91 pkt James Suckling, 90 pkt - Wine Spectator, 90 pkt - Wine Advocate, TOP 100 – Wine Spectator, Silver Medal – Argentina Wine Awards. 92 pkt IWC Awards 2023.",14,75cl,"56,00",NO.08.png,Argentyna,Otwórz plik
NO.21,23,Białe,Altura Sémillon Bodega Norton,Uco Valley Mendoza - Argentyna,Sémillon,,"Wino wytrawne. Złota barwa. Winogrona uprawiane na wysokości 1100 m n.p.m. w apelacji Altamira w Dolinie Uco w Mendozie. W 90% fermentacja odbywa się w cementowych zbiornikach w kształcie jajka, które pozwalają winu poruszać się swobodniej niż podczas fermentacji w tradycyjnej beczce i utrzymywać ciągły kontakt z osadem drożdżowym. Pozostałe 10% fermentowane jest w beczce z dębu francuskiego. Bogaty nos z niuansami kwiatu pomarańczy, świeżych ziół, białych owoców pestkowych. Wyraźnie zaznaczony rumianek, cytryna oraz brzoskwinia. W ustach pełne, zrównoważone i rześkie, z mineralnym charakterem i przyjemną kwasowością. Wino dojrzewało w betonowych kadziach przez 6 miesięcy i 3 miesiące w butelce przed wypuszczeniem na rynek. Podawać z bogatymi daniami na bazie białych mięs w kremowych sosach, z grillowanymi i smażonymi tłustymi rybami, owocami morza (krabem, homarem) oraz serami typu Gruyère, Comté czy Cheddar.","13,5",75cl,"116,00",NO.21.png,Argentyna,Otwórz plik
NO.22,22,Czerwone,Altura Cabernet Franc Bodega Norton,Uco Valley Mendoza - Argentyna,Cabernet Franc,12 miesięcy,"Wino wytrawne. Winogrona uprawiane na wysokości 1100 m n.p.m. w apelacji Altamira w Dolinie Uco w Mendozie. W aromacie wina przeplatają się dojrzałe, ale świeże jagody, niuanse ziołowe, mięta oraz nuty przypraw i dymu. W ustach miękkie, pełne, z zaznaczoną świeżością, dobrze wyważoną kwasowością i przyjemnym finiszem. Wino dojrzewało przez 12 miesięcy w beczce z dębu francuskiego oraz minimum 6 miesięcy w butelce przed wypuszczeniem na rynek. Podawać z potrawami z grilla, twardymi i dojrzewających serami czy też daniami z dziczyzny. Idealne również w towarzystwie potraw kuchni śródziemnomorskiej i azjatyckiej, a także z ciemną czekoladą lub deserami na bazie czekolady.","14,5",75cl,"116,00",NO.22.png,Argentyna,Otwórz plik
